Admitted,Place,Case_Year,Admitted,Found_on,Brought_in_after,City,County,Reason,Reason_edited,Reason_e,First_aid,Species,Species_e,Sex,Sex_e,Age,Age_e,G_O,Disposition,DDate,weight,BCS,attitude,dehydration,head,CNS,cardiopulmonary,GI,musculoskeletal,integument,body,forelimb,forelimb_e,hindlimb,hindlimb_e,treatment,Heat,Fluids,NSAID,Antibiotic,Steroid,treatment_e,admit_date,found_date,ID,r,Disposition_binary,F_Aid,month,season
1993-03-02,Lindsey,1993,1993-03-02,1993-03-02,0,Concord,Contra Costa County,Nest in tree; tree removed,nest fell from the tree,nest-related,unknown,ANHU,Non-selasphorus,unknown,unknown,Nestling,Nestling,Non-selasphorus spp.,Released,1993-04-19 00:00:00,,unknown,unknown,unknown,,,,,,,,,unknown,,unknown,"heat, fed nektar plus and tubiflex worms",1.0,1.0,0.0,0.0,0.0,yes,1993-03-02,1993-03-02,390_ANHU,nest-related,Released,No,3,Spring
1993-03-07,Lindsey,1993,1993-03-07,1993-03-06,1,Pleasant Hill,Contra Costa County,Flew into building.,flew into the house,found inside,unknown,ANHU,ANHU,unknown,Female-like ,Fledgling,adult-like,Non-selasphorus spp.,Released,1993-04-06 00:00:00,,unknown,unknown,unknown,,,,,,,,,unknown,,unknown,Nektar plus & heat,1.0,1.0,0.0,0.0,0.0,yes,1993-03-07,1993-03-06,392_ANHU,found inside,Released,No,3,Spring
1993-03-27,Lindsey,1993,1993-03-27,1993-03-26,1,Walnut Creek,Contra Costa County,Trapped behind peg board injured wing,found on the ground,found inside,sugar water,ANHU,ANHU,unknown,Female-like ,Adult,adult-like,Non-selasphorus spp.,Euthanized in 24hr,1993-03-27 00:00:00,,unknown,unknown,unknown,,,,,,,,,unknown,,unknown,Heat,1.0,0.0,0.0,0.0,0.0,yes,1993-03-27,1993-03-26,413_ANHU,found inside,Died,Yes,3,Spring
1993-03-30,Lindsey,1993,1993-03-30,1993-03-30,0,Walnut Creek,Contra Costa County,,unknown,unknown,unknown,ANHU,ANHU,unknown,Female-like ,Adult,adult-like,Non-selasphorus spp.,Released,1993-03-31 00:00:00,,unknown,unknown,unknown,,,,,,,,,unknown,,unknown,"Heat, Fluids. Nektar plus",1.0,1.0,0.0,0.0,0.0,yes,1993-03-30,1993-03-30,414_ANHU,unknown,Released,No,3,Spring
1993-04-06,Lindsey,1993,1993-04-06,1993-04-06,0,Pacheco,Contra Costa County,Bird got in between a net over fish pond.,found in the pool,found on the ground,unknown,ANHU,ANHU,unknown,Female-like ,Adult,adult-like,Non-selasphorus spp.,Died in 24hr,1993-04-06 00:00:00,,unknown,unknown,unknown,,,,,,,,,unknown,,unknown,"Heat, fed nektarplus.",1.0,1.0,0.0,0.0,0.0,yes,1993-04-06,1993-04-06,422_ANHU,found on the ground,Died,No,4,Spring
1993-04-26,Lindsey,1993,1993-04-26,1993-04-26,0,Oakland,Alameda County,Prostrate on sidewalk. (?),found on the ground,found on the ground,sugar water,ANHU,ANHU,unknown,Female-like ,Juvenile,adult-like,Non-selasphorus spp.,Euthanized in 24hr,1993-04-27 00:00:00,,unknown,unknown,unknown,,,,,,,,,unknown,,unknown,Nektarplus.,0.0,1.0,0.0,0.0,0.0,yes,1993-04-26,1993-04-26,454_ANHU,found on the ground,Died,Yes,4,Spring
1993-05-25,Lindsey,1993,1993-05-25,1993-05-25,0,Richmond,Contra Costa County,Cat caught,caught by domestic animal,caught by domestic animal,unknown,ALHU,Selasphorus,unknown,Female-like ,Fledgling,adult-like,Selasphorus spp.,Released,unknown,,unknown,unknown,unknown,,,,,,,,,unknown,,unknown,"Heat, Fluids - Nektar plus",1.0,1.0,0.0,0.0,0.0,yes,1993-05-25,1993-05-25,477_ALHU,caught by domestic animal,Released,No,5,Spring
1993-10-06,Lindsey,1993,1993-10-06,1993-10-06,0,Martinez,Contra Costa County,Cat caught,caught by domestic animal,caught by domestic animal,unknown,ANHU,ANHU,unknown,Female-like ,Adult,adult-like,Non-selasphorus spp.,Died in 24hr,1993-10-06 00:00:00,,unknown,unknown,unknown,,,,,,,,,unknown,,unknown,Heat and fluids,1.0,1.0,0.0,0.0,0.0,yes,1993-10-06,1993-10-06,548_ANHU,caught by domestic animal,Died,No,10,Fall
1993-10-08,Lindsey,1993,1993-10-08,1993-10-08,0,Walnut Creek,Contra Costa County,Flew into window.  Stunned and unable to fly.,window hit,window hit,unknown,ANHU,ANHU,unknown,Female-like ,Adult,adult-like,Non-selasphorus spp.,Died in 24hr,1993-10-09 00:00:00,,unknown,unknown,unknown,,,,,,,,,unknown,,unknown,Heat.,1.0,0.0,0.0,0.0,0.0,yes,1993-10-08,1993-10-08,549_ANHU,window hit,Died,No,10,Fall
1993-10-17,Lindsey,1993,1993-10-17,1993-10-17,0,Piedmont,Alameda County,Cat caught,caught by domestic animal,caught by domestic animal,unknown,ANHU,ANHU,unknown,Female-like ,Adult,adult-like,Non-selasphorus spp.,Died in 24hr,1993-10-17 00:00:00,,unknown,unknown,unknown,,,,,,,,,unknown,,unknown,heat,1.0,0.0,0.0,0.0,0.0,yes,1993-10-17,1993-10-17,550_ANHU,caught by domestic animal,Died,No,10,Fall
1993-11-22,Lindsey,1993,1993-11-22,1993-11-22,0,Lafayette,Contra Costa County,"on patio under feeder, blood spot on concrete, hit window?",window hit,window hit,unknown,ANHU,ANHU,unknown,Female-like ,Adult,adult-like,Non-selasphorus spp.,Died in 24hr,1993-11-23 00:00:00,,unknown,unknown,unknown,,,,,,,,,unknown,,unknown,heat,1.0,0.0,0.0,0.0,0.0,yes,1993-11-22,1993-11-22,555_ANHU,window hit,Died,No,11,Fall
1993-11-23,Lindsey,1993,1993-11-23,1993-11-23,0,Concord,Contra Costa County,flopping around on round in patio,found on the ground,found on the ground,unknown,ANHU,ANHU,unknown,Female-like ,Adult,adult-like,Non-selasphorus spp.,Died in 24hr,1993-11-24 00:00:00,,unknown,unknown,unknown,,,,,,,,,unknown,,unknown,heat,1.0,0.0,0.0,0.0,0.0,yes,1993-11-23,1993-11-23,556_ANHU,found on the ground,Died,No,11,Fall
1993-11-24,Lindsey,1993,1993-11-24,1993-11-24,0,Walnut Creek,Contra Costa County,on ground,found on the ground,found on the ground,nectar,ANHU,ANHU,unknown,Female-like ,Juvenile,adult-like,Non-selasphorus spp.,Died in 24hr,1993-11-25 00:00:00,,unknown,unknown,unknown,,,,,,,,,unknown,,unknown,"heat, fluids",1.0,1.0,0.0,0.0,0.0,yes,1993-11-24,1993-11-24,557_ANHU,found on the ground,Died,Yes,11,Fall
1993-12-19,Lindsey,1993,1993-12-19,1993-12-19,0,Walnut Creek,Contra Costa County,In street trying to fly but fell after a short distance. Easily caught.,found on the ground,found on the ground,unknown,ANHU,ANHU,unknown,Female-like ,Adult,adult-like,Non-selasphorus spp.,Died in 24hr,1993-12-19 00:00:00,,unknown,unknown,unknown,,,,,,,,,unknown,,unknown,"Heat,Dex. cocktail.",1.0,0.0,0.0,0.0,1.0,yes,1993-12-19,1993-12-19,560_ANHU,found on the ground,Died,No,12,Winter
1993-12-24,Lindsey,1993,1993-12-24,1993-12-24,0,Walnut Creek,Contra Costa County,Can't fly- was on my doorstep.,found on the ground,found on the ground,unknown,ANHU,ANHU,unknown,Female-like ,Adult,adult-like,Non-selasphorus spp.,Died in 24hr,1993-12-25 00:00:00,,unknown,unknown,unknown,,,,,,,,,unknown,,unknown,"Heat, nektarplus.",1.0,1.0,0.0,0.0,0.0,yes,1993-12-24,1993-12-24,561_ANHU,found on the ground,Died,No,12,Winter
