Admitted,Disposition_binary,Place,F_Aid,Species_e,Sex_e,Age_e,Brought_in_after,season,r,G_O
1991-08-12,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Summer,found on the ground,Non-selasphorus spp.
1991-08-14,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Summer,found on the ground,Non-selasphorus spp.
1991-08-15,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Summer,found on the ground,Non-selasphorus spp.
1991-08-16,Died,Lindsey,No,ANHU,Female-like ,adult-like,1,Summer,unknown,Non-selasphorus spp.
1991-08-19,Released,Lindsey,No,BCHU,Female-like ,adult-like,1,Summer,caught by domestic animal,Non-selasphorus spp.
1991-08-19,Died,Lindsey,No,Selasphorus,Female-like ,adult-like,1,Summer,found inside,Selasphorus spp.
1991-08-20,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Summer,window hit,Non-selasphorus spp.
1991-08-21,Died,Lindsey,Yes,Selasphorus,Female-like ,adult-like,10,Summer,unknown,Selasphorus spp.
1991-08-21,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Summer,unknown,Non-selasphorus spp.
1991-08-26,Released,Lindsey,No,ANHU,Female-like ,adult-like,0,Summer,found on the ground,Non-selasphorus spp.
1991-08-27,Died,Lindsey,No,BCHU,Female-like ,adult-like,0,Summer,found on the ground,Non-selasphorus spp.
1991-09-08,Released,Lindsey,No,BCHU,Female-like ,adult-like,0,Fall,caught by domestic animal,Non-selasphorus spp.
1991-09-12,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Fall,unknown,Non-selasphorus spp.
1991-09-14,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Fall,window hit,Non-selasphorus spp.
1991-09-19,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Fall,caught by domestic animal,Non-selasphorus spp.
1991-09-19,Died,Lindsey,Yes,ANHU,Female-like ,adult-like,0,Fall,found on the ground,Non-selasphorus spp.
1991-09-18,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Fall,unknown,Non-selasphorus spp.
1991-09-20,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Fall,unknown,Non-selasphorus spp.
1991-09-26,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Fall,found on the ground,Non-selasphorus spp.
1991-10-04,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Fall,unknown,Non-selasphorus spp.
1991-10-26,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Fall,caught by domestic animal,Non-selasphorus spp.
1991-10-28,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Fall,window hit,Non-selasphorus spp.
1991-11-11,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Fall,found on the ground,Non-selasphorus spp.
1991-11-15,Died,Lindsey,No,ANHU,Female-like ,adult-like,10,Fall,window hit,Non-selasphorus spp.
1991-11-16,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Fall,caught by domestic animal,Non-selasphorus spp.
1991-12-19,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Winter,caught by domestic animal,Non-selasphorus spp.
1991-12-24,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Winter,found inside,Non-selasphorus spp.
1991-12-24,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Winter,found inside,Non-selasphorus spp.
1992-01-02,Died,Lindsey,Yes,Non-selasphorus,unknown,Nestling,1,Winter,nest-related,Non-selasphorus spp.
1992-01-09,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Winter,found on the ground,Non-selasphorus spp.
1992-01-15,Died,Lindsey,Yes,ANHU,Female-like ,adult-like,0,Winter,found inside,Non-selasphorus spp.
1992-01-18,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Winter,window hit,Non-selasphorus spp.
1992-01-18,Died,Lindsey,Yes,ANHU,Female-like ,adult-like,2,Winter,caught by domestic animal,Non-selasphorus spp.
1992-01-18,Died,Lindsey,Yes,ANHU,Female-like ,adult-like,2,Winter,caught by domestic animal,Non-selasphorus spp.
1992-01-16,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Winter,caught by domestic animal,Non-selasphorus spp.
1992-01-17,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Winter,unknown,Non-selasphorus spp.
1992-01-31,Released,Lindsey,Yes,ANHU,Female-like ,adult-like,0,Winter,found on the ground,Non-selasphorus spp.
1992-01-31,Released,Lindsey,No,ANHU,Female-like ,adult-like,0,Winter,unknown,Non-selasphorus spp.
1992-02-03,Died,Lindsey,Yes,ANHU,Female-like ,adult-like,1,Winter,caught by domestic animal,Non-selasphorus spp.
1992-02-03,Released,Lindsey,Yes,Non-selasphorus,unknown,Nestling,1,Winter,found on the ground,Non-selasphorus spp.
1992-02-05,Released,Lindsey,Yes,ANHU,Female-like ,adult-like,0,Winter,found on the ground,Non-selasphorus spp.
1992-02-05,Died,Lindsey,Yes,ANHU,Female-like ,adult-like,0,Winter,found on the ground,Non-selasphorus spp.
1992-02-11,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Winter,found on the ground,Non-selasphorus spp.
1992-02-12,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Winter,unknown,Non-selasphorus spp.
1992-02-13,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Winter,caught by domestic animal,Non-selasphorus spp.
1992-02-18,Died,Lindsey,No,Non-selasphorus,unknown,Nestling,0,Winter,nest-related,Non-selasphorus spp.
1992-02-18,Released,Lindsey,No,Non-selasphorus,unknown,Nestling,0,Winter,nest-related,Non-selasphorus spp.
1992-02-09,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Winter,unknown,Non-selasphorus spp.
1992-02-22,Released,Lindsey,Yes,Non-selasphorus,unknown,Nestling,1,Winter,nest-related,Non-selasphorus spp.
1992-02-26,Died,Lindsey,No,Non-selasphorus,unknown,Nestling,0,Winter,unknown,Non-selasphorus spp.
1992-02-28,Released,Lindsey,No,ANHU,Female-like ,adult-like,0,Winter,window hit,Non-selasphorus spp.
1992-03-03,Died,Lindsey,No,Selasphorus,Female-like ,adult-like,0,Spring,found on the ground,Selasphorus spp.
1992-03-04,Released,Lindsey,Yes,ANHU,Female-like ,adult-like,0,Spring,found on the ground,Non-selasphorus spp.
1992-03-07,Died,Lindsey,No,ANHU,Female-like ,adult-like,1,Spring,found on the ground,Non-selasphorus spp.
1992-03-11,Released,Lindsey,No,Non-selasphorus,unknown,Nestling,0,Spring,found on the ground,Non-selasphorus spp.
1992-03-16,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Spring,caught by domestic animal,Non-selasphorus spp.
1992-03-16,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Spring,caught by domestic animal,Non-selasphorus spp.
1992-03-18,Released,Lindsey,No,ANHU,Female-like ,adult-like,0,Spring,found on the ground,Non-selasphorus spp.
1992-03-18,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Spring,window hit,Non-selasphorus spp.
1992-03-20,Died,Lindsey,No,ANHU,Female-like ,adult-like,3,Spring,unknown,Non-selasphorus spp.
1992-03-22,Died,Lindsey,Yes,ANHU,Female-like ,adult-like,8,Spring,unknown,Non-selasphorus spp.
1992-03-23,Released,Lindsey,Yes,ANHU,Female-like ,adult-like,1,Spring,found on the ground,Non-selasphorus spp.
1992-03-24,Released,Lindsey,Yes,ANHU,Female-like ,adult-like,0,Spring,caught by domestic animal,Non-selasphorus spp.
1992-03-25,Released,Lindsey,No,ANHU,Female-like ,adult-like,0,Spring,found on the ground,Non-selasphorus spp.
1992-03-24,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Spring,unknown,Non-selasphorus spp.
1992-03-26,Died,Lindsey,No,ANHU,Female-like ,adult-like,1,Spring,unknown,Non-selasphorus spp.
1992-03-27,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Spring,window hit,Non-selasphorus spp.
1992-03-29,Died,Lindsey,No,ANHU,Female-like ,adult-like,1,Spring,found on the ground,Non-selasphorus spp.
1992-03-31,Released,Lindsey,No,Non-selasphorus,unknown,Nestling,0,Spring,found on the ground,Non-selasphorus spp.
1992-04-01,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Spring,unknown,Non-selasphorus spp.
1992-04-01,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Spring,window hit,Non-selasphorus spp.
1992-04-01,Released,Lindsey,No,ANHU,Female-like ,adult-like,0,Spring,found on the ground,Non-selasphorus spp.
1992-04-01,Released,Lindsey,No,ANHU,Female-like ,adult-like,0,Spring,found on the ground,Non-selasphorus spp.
