"","Age_e","season","r","Heat","Fluids","Steroid","NSAID","Antibiotic","G_O","Sex_e","predicted_disposition"
"85","adult-like","Spring","caught by domestic animal",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.367204862129646
"86","Nestling","Spring","nest-related",1,0,0,0,0,"Non-selasphorus spp.","unknown",0.695728055509723
"87","adult-like","Spring","found on the ground",1,1,0,0,0,"Non-selasphorus spp.","Female-like ",0.433719772251276
"88","Nestling","Spring","unknown",1,0,0,0,0,"Selasphorus spp.","unknown",0.651215698474123
"89","adult-like","Spring","caught by domestic animal",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.367204862129646
"90","adult-like","Spring","caught by domestic animal",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.367204862129646
"91","adult-like","Spring","found on the ground",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.367219661665241
"92","adult-like","Spring","unknown",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.412343651357241
"93","Nestling","Summer","nest-related",1,0,0,0,0,"Non-selasphorus spp.","unknown",0.693932320749468
"94","Nestling","Summer","nest-related",1,0,0,0,0,"Non-selasphorus spp.","unknown",0.693932320749468
"95","adult-like","Summer","caught by domestic animal",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.365239223366758
"96","Nestling","Summer","found on the ground",1,0,0,0,0,"Non-selasphorus spp.","unknown",0.656905435403332
"97","Nestling","Summer","found on the ground",1,0,0,0,0,"Non-selasphorus spp.","unknown",0.656905435403332
"98","adult-like","Summer","found on the ground",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.365253989408059
"99","adult-like","Summer","found on the ground",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.365253989408059
"100","Nestling","Summer","caught by domestic animal",1,0,0,0,0,"Non-selasphorus spp.","unknown",0.656891080710916
"101","adult-like","Summer","caught by domestic animal",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.365239223366758
"102","adult-like","Summer","found inside",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.401724022046641
"103","Nestling","Summer","unknown",1,0,0,0,0,"Non-selasphorus spp.","unknown",0.69834133675227
"104","Nestling","Summer","found on the ground",1,0,0,0,0,"Non-selasphorus spp.","unknown",0.656905435403332
"105","Nestling","Summer","caught by domestic animal",1,0,0,0,0,"Non-selasphorus spp.","unknown",0.656891080710916
"106","adult-like","Summer","found on the ground",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.365253989408059
"107","adult-like","Summer","found on the ground",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.365253989408059
"108","adult-like","Summer","found on the ground",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.365253989408059
"109","adult-like","Summer","caught by domestic animal",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.365239223366758
"110","Nestling","Summer","found on the ground",1,0,0,0,0,"Non-selasphorus spp.","unknown",0.656905435403332
"111","adult-like","Summer","caught by domestic animal",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.365239223366758
"112","adult-like","Summer","found on the ground",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.365253989408059
"113","Nestling","Summer","nest-related",1,0,0,0,0,"Selasphorus spp.","unknown",0.644528673360976
"114","Nestling","Summer","nest-related",1,0,0,0,0,"Selasphorus spp.","unknown",0.644528673360976
"115","adult-like","Summer","window hit",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.39652232349081
"116","adult-like","Summer","found on the ground",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.365253989408059
"117","adult-like","Summer","window hit",1,0,0,0,0,"Selasphorus spp.","Female-like ",0.344462524200356
"118","adult-like","Summer","caught by domestic animal",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.365239223366758
"119","adult-like","Summer","found on the ground",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.365253989408059
"120","adult-like","Summer","window hit",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.39652232349081
"121","adult-like","Summer","unknown",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.410293052273632
